FIPS,State,State_name,State,County,long,lat,FFRPTH14,PCH_FFRPTH_09_14,FSRPTH14,PCH_FSRPTH_09_14
1023,AL,Alabama,AL,Choctaw,-88.3002,32.1792,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.3284,32.0288,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.3258,31.7678,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.0494,32.1994,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.4589,31.9304,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.3366,31.987,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.3092,31.9107,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.214,32.0951,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.2745,32.2288,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.3195,31.8758,0.45034902,57.35194776,0.37529085,-25.07050107
1023,AL,Alabama,AL,Choctaw,-88.2917,31.7131,0.45034902,57.35194776,0.37529085,-25.07050107
1025,AL,Alabama,AL,Clarke,-87.9811,31.9235,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-87.7418,31.9111,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-87.8915,31.5318,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-87.7397,31.7916,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-87.7889,31.3888,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-88.0861,31.7666,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-87.8443,31.4058,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-88.02,31.6296,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-87.7759,31.7033,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-87.7108,31.6463,1.042293045,17.99663608,0.60132291,20.44035339
1025,AL,Alabama,AL,Clarke,-87.8378,31.343,1.042293045,17.99663608,0.60132291,20.44035339
1027,AL,Alabama,AL,Clay,-85.9303,33.1926,0.295159386,3.350059032,0.442739079,-11.41423512
1027,AL,Alabama,AL,Clay,-85.8339,33.3632,0.295159386,3.350059032,0.442739079,-11.41423512
1027,AL,Alabama,AL,Clay,-86.129,33.1213,0.295159386,3.350059032,0.442739079,-11.41423512
1027,AL,Alabama,AL,Clay,-85.7508,33.3123,0.295159386,3.350059032,0.442739079,-11.41423512
1027,AL,Alabama,AL,Clay,-85.8337,33.2704,0.295159386,3.350059032,0.442739079,-11.41423512
1027,AL,Alabama,AL,Clay,-85.6746,33.447,0.295159386,3.350059032,0.442739079,-11.41423512
1027,AL,Alabama,AL,Clay,-85.6725,33.2509,0.295159386,3.350059032,0.442739079,-11.41423512
1029,AL,Alabama,AL,Cleburne,-85.4702,33.9298,0.530503979,13.05797651,0.132625995,-50.53713528
1029,AL,Alabama,AL,Cleburne,-85.5698,33.6471,0.530503979,13.05797651,0.132625995,-50.53713528
1029,AL,Alabama,AL,Cleburne,-85.4523,33.8412,0.530503979,13.05797651,0.132625995,-50.53713528
1029,AL,Alabama,AL,Cleburne,-85.339,33.5259,0.530503979,13.05797651,0.132625995,-50.53713528
1029,AL,Alabama,AL,Cleburne,-85.6437,33.5231,0.530503979,13.05797651,0.132625995,-50.53713528
1029,AL,Alabama,AL,Cleburne,-85.4312,33.7296,0.530503979,13.05797651,0.132625995,-50.53713528
1031,AL,Alabama,AL,Coffee,-85.8459,31.3276,0.667858335,-5.660239699,0.550000982,-12.28371433
1031,AL,Alabama,AL,Coffee,-86.0759,31.4172,0.667858335,-5.660239699,0.550000982,-12.28371433
1031,AL,Alabama,AL,Coffee,-85.9228,31.3784,0.667858335,-5.660239699,0.550000982,-12.28371433
1031,AL,Alabama,AL,Coffee,-86.1704,31.2199,0.667858335,-5.660239699,0.550000982,-12.28371433
1033,AL,Alabama,AL,Colbert,-87.5291,34.6986,0.953376235,26.55720727,0.696698018,-5.20378417
1033,AL,Alabama,AL,Colbert,-87.967,34.7577,0.953376235,26.55720727,0.696698018,-5.20378417
1033,AL,Alabama,AL,Colbert,-87.6336,34.7426,0.953376235,26.55720727,0.696698018,-5.20378417
1033,AL,Alabama,AL,Colbert,-87.7008,34.7556,0.953376235,26.55720727,0.696698018,-5.20378417
1033,AL,Alabama,AL,Colbert,-87.6719,34.5951,0.953376235,26.55720727,0.696698018,-5.20378417
1033,AL,Alabama,AL,Colbert,-87.7035,34.7204,0.953376235,26.55720727,0.696698018,-5.20378417
1033,AL,Alabama,AL,Colbert,-87.8911,34.7387,0.953376235,26.55720727,0.696698018,-5.20378417
1035,AL,Alabama,AL,Conecuh,-86.9584,31.4379,0.552486188,46.67403315,0.315706393,4.767166535
1035,AL,Alabama,AL,Conecuh,-86.7711,31.2627,0.552486188,46.67403315,0.315706393,4.767166535
1035,AL,Alabama,AL,Conecuh,-87.2394,31.4097,0.552486188,46.67403315,0.315706393,4.767166535
1035,AL,Alabama,AL,Conecuh,-87.027,31.3001,0.552486188,46.67403315,0.315706393,4.767166535
1035,AL,Alabama,AL,Conecuh,-87.2355,31.3127,0.552486188,46.67403315,0.315706393,4.767166535
