"","State","Age_group","Deaths","Population","Female","Male"
"369","Nebraska","45-54",806,2319226,34.8,NA
"370","Nebraska","45-54",2208,2319786,NA,95.2
"371","Nebraska","55-64",1624,1882016,86.3,NA
"372","Nebraska","55-64",3944,1831197,NA,215.4
"373","Nebraska","65-74",3266,1279157,255.3,NA
"374","Nebraska","65-74",5744,1132571,NA,507.2
"375","Nebraska","75-84",8241,929969,886.2,NA
"376","Nebraska","75-84",9923,669056,NA,1483.1
"377","Nebraska","85+",11332,229976,NA,4927.5
"378","Nebraska","85+",20623,494107,4173.8,NA
"379","Nevada","25-34",200,3429815,5.8,NA
"380","Nevada","25-34",485,3625337,NA,13.4
"381","Nevada","35-44",688,3396805,20.3,NA
"382","Nevada","35-44",1675,3605533,NA,46.5
"383","Nevada","45-54",1998,3255177,61.4,NA
"384","Nevada","45-54",5139,3349432,NA,153.4
"385","Nevada","55-64",4360,2776616,157,NA
"386","Nevada","55-64",10433,2705913,NA,385.6
"387","Nevada","65-74",7051,1866549,377.8,NA
"388","Nevada","65-74",13787,1798814,NA,766.4
"389","Nevada","75-84",11031,973483,1133.1,NA
"390","Nevada","75-84",14959,836678,NA,1787.9
"391","Nevada","85+",9578,197881,NA,4840.3
"392","Nevada","85+",13907,340454,4084.8,NA
"393","New Hampshire","25-34",42,1434825,2.9,NA
"394","New Hampshire","25-34",100,1449220,NA,6.9
"395","New Hampshire","35-44",147,1814698,8.1,NA
"396","New Hampshire","35-44",470,1783810,NA,26.3
"397","New Hampshire","45-54",518,1990887,26,NA
"398","New Hampshire","45-54",1738,1962972,NA,88.5
"399","New Hampshire","55-64",1159,1562114,74.2,NA
"400","New Hampshire","55-64",3329,1526712,NA,218.1
"401","New Hampshire","65-74",2476,971132,255,NA
"402","New Hampshire","65-74",4673,893678,NA,522.9
"403","New Hampshire","75-84",6253,619197,1009.9,NA
"404","New Hampshire","75-84",6946,454602,NA,1527.9
"405","New Hampshire","85+",7360,142343,NA,5170.6
"406","New Hampshire","85+",13225,306636,4312.9,NA
"407","New Jersey","25-34",432,10783508,4,NA
"408","New Jersey","25-34",995,10822421,NA,9.2
"409","New Jersey","35-44",1466,12504441,11.7,NA
"410","New Jersey","35-44",3642,12119527,NA,30.1
"411","New Jersey","45-54",4295,12610851,34.1,NA
