State,Gender,Age_group,Deaths,Population,Crude_Rate
Mississippi,Male,45-54,7744,3621054,213.9
Mississippi,Female,55-64,7017,3194568,219.7
Mississippi,Male,55-64,13663,2916695,468.4
Mississippi,Female,65-74,11408,2225680,512.6
Mississippi,Male,65-74,17202,1859332,925.2
Mississippi,Female,75-84,21098,1412122,1494.1
Mississippi,Male,75-84,19835,921214,2153.1
Mississippi,Female,85+,32689,600654,5442.2
Mississippi,Male,85+,14710,249098,5905.3
Missouri,Female,25-34,515,7272703,7.1
Missouri,Male,25-34,979,7244761,13.5
Missouri,Female,35-44,1768,7571790,23.3
Missouri,Male,35-44,3731,7470506,49.9
Missouri,Female,45-54,5059,7952508,63.6
Missouri,Male,45-54,12058,7687860,156.8
Missouri,Female,55-64,9983,6640160,150.3
Missouri,Male,55-64,21053,6158618,341.8
Missouri,Female,65-74,17607,4595157,383.2
Missouri,Male,65-74,28588,3961426,721.7
Missouri,Female,75-84,37895,3074270,1232.7
Missouri,Male,75-84,39939,2163529,1846
Missouri,Female,85+,70935,1462155,4851.4
Missouri,Male,85+,36270,651929,5563.5
Montana,Female,25-34,48,1074639,4.5
Montana,Male,25-34,74,1130791,6.5
Montana,Female,35-44,128,1161616,11
Montana,Male,35-44,395,1171731,33.7
Montana,Female,45-54,463,1346891,34.4
Montana,Male,45-54,1457,1338837,108.8
Montana,Female,55-64,1146,1175326,97.5
Montana,Male,55-64,2963,1179787,251.1
Montana,Female,65-74,1997,769621,259.5
Montana,Male,65-74,4124,753108,547.6
Montana,Female,75-84,4403,487494,903.2
Montana,Male,75-84,5709,395385,1443.9
Montana,Female,85+,8584,236583,3628.3
Montana,Male,85+,5652,126067,4483.3
Nebraska,Female,25-34,99,2195269,4.5
Nebraska,Male,25-34,193,2294019,8.4
Nebraska,Female,35-44,311,2219607,14
Nebraska,Male,35-44,734,2268886,32.4
Nebraska,Female,45-54,806,2319226,34.8
Nebraska,Male,45-54,2208,2319786,95.2
Nebraska,Female,55-64,1624,1882016,86.3
Nebraska,Male,55-64,3944,1831197,215.4
Nebraska,Female,65-74,3266,1279157,255.3
Nebraska,Male,65-74,5744,1132571,507.2
Nebraska,Female,75-84,8241,929969,886.2
Nebraska,Male,75-84,9923,669056,1483.1
Nebraska,Female,85+,20623,494107,4173.8
Nebraska,Male,85+,11332,229976,4927.5
Nevada,Female,25-34,200,3429815,5.8
Nevada,Male,25-34,485,3625337,13.4
Nevada,Female,35-44,688,3396805,20.3
Nevada,Male,35-44,1675,3605533,46.5
Nevada,Female,45-54,1998,3255177,61.4
Nevada,Male,45-54,5139,3349432,153.4
Nevada,Female,55-64,4360,2776616,157
Nevada,Male,55-64,10433,2705913,385.6
Nevada,Female,65-74,7051,1866549,377.8
Nevada,Male,65-74,13787,1798814,766.4
Nevada,Female,75-84,11031,973483,1133.1
Nevada,Male,75-84,14959,836678,1787.9
Nevada,Female,85+,13907,340454,4084.8
Nevada,Male,85+,9578,197881,4840.3
New Hampshire,Female,25-34,42,1434825,2.9
New Hampshire,Male,25-34,100,1449220,6.9
New Hampshire,Female,35-44,147,1814698,8.1
New Hampshire,Male,35-44,470,1783810,26.3
New Hampshire,Female,45-54,518,1990887,26
New Hampshire,Male,45-54,1738,1962972,88.5
New Hampshire,Female,55-64,1159,1562114,74.2
New Hampshire,Male,55-64,3329,1526712,218.1
New Hampshire,Female,65-74,2476,971132,255
New Hampshire,Male,65-74,4673,893678,522.9
New Hampshire,Female,75-84,6253,619197,1009.9
New Hampshire,Male,75-84,6946,454602,1527.9
New Hampshire,Female,85+,13225,306636,4312.9
New Hampshire,Male,85+,7360,142343,5170.6
New Jersey,Female,25-34,432,10783508,4
New Jersey,Male,25-34,995,10822421,9.2
New Jersey,Female,35-44,1466,12504441,11.7
