"","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14","long","lat","group","order","State_name"
"6783","Ashland",39005,"OH",0.584519657,19.83777041,0.509097766,0.509097766,-82.4371643066406,41.0065879821777,2014,60006,"Ohio"
"6823","Ashley",5003,"AR",0.716058812,20.73853204,0.286423525,-30.23995926,-92.1086959838867,33.0424728393555,83,4080,"Arkansas"
"6852","Ashtabula",39007,"OH",0.867154021,20.66982745,0.796571717,9.349920629,-80.6438140869141,41.9519729614258,2015,60021,"Ohio"
"6863","Asotin",53003,"WA",0.450673757,7.235316799,0.676010636,-3.488214881,-117.158409118652,46.4267692565918,2892,85003,"Washington"
"6887","Assumption",22007,"LA",0.173656334,-18.35373795,0.173656334,308.2313102,-90.9169387817383,29.8740177154541,1082,32272,"Louisiana"
"6926","Atascosa",48013,"TX",0.460501528,-6.595637795,0.502365303,-16.97390026,-98.3424758911133,28.6593475341797,2498,74641,"Texas"
"6936","Atchison",20005,"KS",0.726700176,23.28468479,0.726700176,12.07698618,-95.1854782104492,40.496654510498,1452,43871,"Missouri"
"6964","Atchison",29005,"MO",0.371609067,7.413600892,1.114827202,61.12040134,-95.1854782104492,40.496654510498,1452,43871,"Missouri"
"6992","Athens",39009,"OH",0.911717893,-4.978408387,0.448132524,-6.588943838,-82.282470703125,39.3965797424316,2016,60030,"Ohio"
"7011","Atkinson",13003,"GA",0.486440472,1.982244923,0.121610118,-79.60355102,-82.735107421875,31.2663078308105,359,14805,"Georgia"
"7035","Atlantic",34001,"NJ",0.755789237,11.95853215,1.188187886,6.761213788,-74.85693359375,39.3965797424316,1742,51314,"New jersey"
"7075","Atoka",40005,"OK",0.507393447,19.70257079,0.579878226,-17.91823717,-95.6782150268555,34.543628692627,2102,61504,"Oklahoma"
"7090","Attala",28007,"MS",0.52183896,13.70870949,0.469655064,15.13006836,-89.971565246582,32.8820457458496,1371,41995,"Mississippi"
"7117","Audrain",29007,"MO",0.618070846,21.84553578,0.502182563,-8.071894884,-91.6274108886719,39.0528030395508,1453,43881,"Missouri"
"7128","Audubon",19009,"IA",0.172592337,NA,0.517777011,-20.57300656,-95.1052627563477,41.8602981567383,759,25364,"Iowa"
"7137","Auglaize",39011,"OH",0.741694117,-10.22378266,0.545363321,-3.521033405,-84.3966827392578,40.680004119873,2017,60054,"Ohio"
