,FIPS,State,State_name,County,long,lat,FFRPTH14,PCH_FFRPTH_09_14,FSRPTH14,PCH_FSRPTH_09_14
135,1023,AL,Alabama,Choctaw,-88.0494,32.1994,0.45034902,57.35194776,0.37529085,-25.07050107
136,1023,AL,Alabama,Choctaw,-88.4589,31.9304,0.45034902,57.35194776,0.37529085,-25.07050107
137,1023,AL,Alabama,Choctaw,-88.3366,31.987,0.45034902,57.35194776,0.37529085,-25.07050107
138,1023,AL,Alabama,Choctaw,-88.3092,31.9107,0.45034902,57.35194776,0.37529085,-25.07050107
139,1023,AL,Alabama,Choctaw,-88.214,32.0951,0.45034902,57.35194776,0.37529085,-25.07050107
140,1023,AL,Alabama,Choctaw,-88.2745,32.2288,0.45034902,57.35194776,0.37529085,-25.07050107
141,1023,AL,Alabama,Choctaw,-88.3195,31.8758,0.45034902,57.35194776,0.37529085,-25.07050107
142,1023,AL,Alabama,Choctaw,-88.2917,31.7131,0.45034902,57.35194776,0.37529085,-25.07050107
143,1025,AL,Alabama,Clarke,-87.9811,31.9235,1.042293045,17.99663608,0.60132291,20.44035339
144,1025,AL,Alabama,Clarke,-87.7418,31.9111,1.042293045,17.99663608,0.60132291,20.44035339
145,1025,AL,Alabama,Clarke,-87.8915,31.5318,1.042293045,17.99663608,0.60132291,20.44035339
146,1025,AL,Alabama,Clarke,-87.7397,31.7916,1.042293045,17.99663608,0.60132291,20.44035339
147,1025,AL,Alabama,Clarke,-87.7889,31.3888,1.042293045,17.99663608,0.60132291,20.44035339
148,1025,AL,Alabama,Clarke,-88.0861,31.7666,1.042293045,17.99663608,0.60132291,20.44035339
149,1025,AL,Alabama,Clarke,-87.8443,31.4058,1.042293045,17.99663608,0.60132291,20.44035339
150,1025,AL,Alabama,Clarke,-88.02,31.6296,1.042293045,17.99663608,0.60132291,20.44035339
151,1025,AL,Alabama,Clarke,-87.7759,31.7033,1.042293045,17.99663608,0.60132291,20.44035339
152,1025,AL,Alabama,Clarke,-87.7108,31.6463,1.042293045,17.99663608,0.60132291,20.44035339
153,1025,AL,Alabama,Clarke,-87.8378,31.343,1.042293045,17.99663608,0.60132291,20.44035339
154,1027,AL,Alabama,Clay,-85.9303,33.1926,0.295159386,3.350059032,0.442739079,-11.41423512
155,1027,AL,Alabama,Clay,-85.8339,33.3632,0.295159386,3.350059032,0.442739079,-11.41423512
156,1027,AL,Alabama,Clay,-86.129,33.1213,0.295159386,3.350059032,0.442739079,-11.41423512
157,1027,AL,Alabama,Clay,-85.7508,33.3123,0.295159386,3.350059032,0.442739079,-11.41423512
158,1027,AL,Alabama,Clay,-85.8337,33.2704,0.295159386,3.350059032,0.442739079,-11.41423512
159,1027,AL,Alabama,Clay,-85.6746,33.447,0.295159386,3.350059032,0.442739079,-11.41423512
160,1027,AL,Alabama,Clay,-85.6725,33.2509,0.295159386,3.350059032,0.442739079,-11.41423512
